Points,Pontos
Reward points,Pontos de Fidelização
You have %d point(s) available,Você tem %d pontos disponíveis
To get a discount you need at least %d points,"Para ganhar um desconto, precisa de pelo menos %d de pontos."
Enter quantity of credit you want to use.,Digite a quantidade de pontos que deseja utilizar.
%d points,%d de pontos.
Apply Points,Utilizar os pontos
Apply points,Utilizar os pontos
You are currently using %d point(s) of your %d point(s) available,Está usando %d pontos de um total de %d pontos disponíveis
Remove Points,Remover os pontos
Not enough points available.,Não tem pontos suficientes
The minimum required points is not reached,Não foi alcançado o mínimo de pontos necessário
Amount of points wrongly used,Pontos utilizados incorretamente
Your Points,Os meus pontos
Total Accumulated Points,Total de pontos acumulados
Total Points Spent,Total de pontos usados
Points waiting for validation,Pontos pendentes para validação
Your cart amount has not reached the minimum required points,O total do seu carrinho não alcançou o mínimo de pontos necessário
yes,Sim
no,Não
Please enter a valid email address,"Por favor, digite um endereço de e-mail válido."
Please enter your friend name,"Por favor, digite o nome do amigo(a)"
This email has been already submitted,Este e-mail já foi utilizado
There was a problem with the invitation,Ocorreu um erro com o envio do convite
This email was successfully invited,O e-mail foi enviado com sucesso.
Friend's name,Nome do amigo(a)
Statistics,Estatísticas
Reward Points,Pontos de Fidelização
Customer full name,Nome completo do cliente
Customer email,E-mail do cliente
Accumulated points,Pontos acumulados
Spent points,Pontos usados
Add New,Novo
Action Type,Tipo de acção
Rule Title,Nome da Regra
Type of action,Tipo de acção
Check Order Points,Consultar os pontos
Refresh customer points,Actualizar os pontos de cliente
Defaults,Padrões
Points gathered per Money spent,Pontos conseguidos por unidade de dinheiro gasto
"Points gathered for 1 unit of money spent. (e.g. if set to 2, you will obtain 100 points for $50 spent).","Equivalência de pontos por unidade de dinheiro gasto (por ex. Se 2, e o cliente gastar 50Kz, obterá 100 pontos)"
Points to obtain 1 €,Pontos necessários para obter 1KZ
Amount of points required to obtain a discount.,Pontos necessários para obter um desconto
Apply points by step,Aplicar pontos por lotes (passos)
"Apply credit points step by step. e.g. 250, 500, 750, etc.","Aplicar os pontos por passos, por exemplo 250, 500, 750,..."
Step value,Intervalo de passo
The step value,O intervalo de passo
Use max amount of points,Utilizar o máximo de pontos
Apply the maximum amount of point to the order,Usar o máximo de pontos disponíveis a cada pedido
Round up points,Reunir os pontos
"If yes, the points will be rounded. Otherwise, it will be floored.","Se sim, os pontos ganhos serão reunidos"
Referral points,Pontos de Indicação
Referral points (%s),Pontos de Indicação (%s)
Points earned when referred friend orders.,"Pontos ganhos quando um amigo indicado faz um pedido, e o pagamento é confirmado."
Referral child points,Pontos de Indicação filho
Points earned by referred friend for first order.,Pontos ganhos através do primeiro pedido do(a) amigo(a) indicado(a).
Select email template (Referral subscribe),Selecione o template de e-mail (inscrição de indicação)
Select email template (Referral confirm),Selecione o template de e-mail (primeiro pedido do indicado)
Referrals,Programa de Indicação
Catalog point rules,Regra de pontos - Catálogo
Cart point rules,Regra de pontos - Carrinho
Order details,Detalhes do pedido
Customer ID,ID do Cliente
Store ID,ID da Loja
Points are,Os pontos são
Order ID,ID do Pedido
Points Spent,Pontos Gastos
Related to Order ID,Relacionados a um pedido
Not related to Order ID,Não relacionados a um pedido
Registration points,Pontos de registo
Points earned upon customer registration.,Pontos ganhos no registo do cliente.
This shopping cart is worth %s loyalty point(s).,Com este pedido irá ganhar %s ponto(s) de fidelidade.
You have %d loyalty point(s) available.,Tem %d ponto(s) de fidelidade.
To get a discount you need at least %d loyalty point(s).,"Para conseguir um desconto, precisa de pelo menos %d ponto(s) de fidelidade."
Enter quantity of loyalty point(s) you want to use.,Insira a quantidade de pontos que deseja utilizar.
%d loyalty point(s),%s ponto(s) de fidelidade
You are currently using %d point(s) of your %d loyalty point(s) available.,Está utilizando %d ponto(s) de fidelidade de um total de %d ponto(s).
Not enough points available.,Não tem pontos suficientes disponíveis.
The minimum required points is not reached.,A quantidade mínima de pontos não foi atingida.
Amount of points wrongly used.,Pontos utilizados de maneira incorrecta.
Please enter a valid email address.,"Por favor, digite um endereço de e-mail válido."
Please enter your friend name.,"Por favor, digite o nome do(a)  amigo(a)."
This email has been already submitted.,Este e-mail já está sendo utilizado.
This email was successfully invited.,E-mail enviado com sucesso.
There was a problem with the invitation.,Ocorreu um erro com o envio do convite.
Referral,Programa de Indicação
Referred Friends,Amigos Indicados
Friend's name,Nome do(a) amigo(a)
Friend's email address,Endereço de e-mail do(a) amigo(a)
* Required Fields,* Campos Obrigatórios
Refer a friend,Indique um(a) amigo(a)
Full Name,Nome completo
Email,E-mail
Coupon codes restriction,Restrição de códigos promocionais
"If yes, customers will not be able to use coupon codes and reward points at the same time within an order.","Se sim, os clientes não poderão usar os códigos de desconto e pontos de fidelização ao mesmo tempo, ao realizar um pedido."
"With this product, you earn <span id='j2t-pts'>%d</span> loyalty point(s).","Com este produto, irá ganhar <span id='j2t-pts'>%d</span> ponto(s) de fidelidade."
Registered?,Registado?
First order?,Primeiro pedido?
Show referral link,Mostrar link de indicação
Show refer a friend link in user account.,Mostrar o link de “indique um amigo” na conta de usuário.
Apply store scope,Restringir compra
"If yes, the points collected will be available only for the store where the points were earned.","Se sim, os pontos adquiridos estarão disponíveis somente para a loja onde foram ganhos."
Client points,Pontos do cliente
Type of points,Tipo de pontos
Type of point,Tipo de ponto
Points added,Pontos adicionados
Points used,Pontos utilizados
Valid until,Válidos até
Order: %s,Pedido : %s
Referral order state: %s,Status do pedido do indicado : %s
Order state: %s,Status do pedido : %s
Customer email,E-mail do cliente
Accumulated points,Pontos acumulados
Spent points,Pontos utilizados
Admin Gift,Presente do administrador
Store input %s,Pontos de administrador %s
Parent email,E-mail do cliente que indicou
Referred email,E-mail do cliente indicado
Referred Name,Nome do cliente indicado
Status,Status
Has ordered,Realizou um pedido
Waiting for order,À espera de um pedido
Name,Nome
Rule details,Detalhe da regra
Rule Name,Nome da regra
To Date,Data de finalização
Type of rule,Tipo de regra
Cart amount,Total do carrinho
Product sku,SKU do Produto
Rule condition,Condição da regra
Operator,Operador
Between,Entre
Test value,Valor de teste
From,De
To,Para
Points to be earned,Pontos ganhos
Status,Status
Inactive,Inactivo
Active,Activo
Automatic use of points,Utilização automática de pontos
Use maximum amount of point while in shopping cart.,Uso automático de todos os pontos disponíveis
Referral order state : %s,Status do pedido do indicado : %s
Order state : %s,Status do pedido : %s
new,Novo
processing,Processando
complete,Completo
Points per validated review,Pontos por opinião válida sobre o produto
Points the customer get while sending a valid review.,Pontos recebidos pelo cliente por enviar uma opinião válida sobre o produto.
Review points,Pontos por opinião
User location,Endereço do cliente
User post code,Código Postal do cliente
User region,Província do cliente
User country,País do cliente
Cart Attributes,Atributos do carrinho
Action Type,Tipos de acção
Don't process points,Não processar os pontos
Add / remove points,Adicionar / Remover pontos
Points validity duration,Validade dos pontos
Points validity duration in days (use 0 for unlimited).,Validade dos pontos em dias (use 0 se for ilimitado).
Maximum points collected per order,Máximo de pontos ganhos por pedido
Maximum points to be collected per order (use 0 for unlimited).,Máximo de pontos ganhos por pedido (use 0 se for ilimidado).
Maximum points used per order,Máximo de pontos usados por pedido
Maximum points to be used per order (use 0 for unlimited).,Máximo de pontos usados por pedido (use 0 se for ilimitado).
"You tried to use %s loyalty points, but you can use a maximum of %s points per shopping cart.","Você tentou utilizar %s pontos de fidelidade, mas você pode utilizar no máximo %s pontos por pedido."
Registration/Referral points,Pontos por Registro/Indicação
Points gathered / unit of money spent,Pontos ganhos / unidade de dinheiro
Points to obtain 1 unit of money,Pontos para obter 1 unidade de dinheiro
Permanent Link,Link permanente
Share the following link with your friends: <br /><strong>%s</strong>,Compartilhe o link com seus amigos : <br /><strong>%s</strong>
Share referring link,Compartilhar link de indicados
Great deals here!,Grandes ofertas!
Visit this for great deals!,Visite esta página para grandes ofertas!
Show referral permanent link,Mostrar link de indicação permanente
This will allow customers to share permanent their permanent link to refer friends.,Isto permitirá aos clientes compartilharem permanentemente o link para indicar amigos.
Share with addthis,Compartilhar com addthis
Allow customers to share permanent link using addthis. Visit addthis.com to create an account.,Permite aos clientes compartilhar o link permanentemente utilizando o addthis. Visite addthis.com para criar uma conta.
addthis account name,Nome da conta Addthis
Sharing title (may not be used),Título a ser compartilhado (uso não obrigatório)
Sharing text (may not be used),Texto a ser compartilhado (uso não obrigatório)
"For any first valid order placed by referred friend, you earn: <strong>%s points</strong>","Pela primeira compra confirmada feita pelo amigo(a) indicado(a), irá ganhar : <strong>%s ponto(s)</strong>"
"For any first valid order placed by referred friend, your friend gets: <strong>%s extra points</strong>","Pela primeira compra confirmada feita pelo amigo(a) indicado(a), o amigo ganha : <strong>%s ponto(s) extra(s)</strong>"
Attribute restriction,Restrição de atributo
Only process points when reward_points attribute is filled (reward_points attribute needs to be created and must containt integer).,Os pontos só serão processados quando o atributo reward points estiver preenchido (o atributo reward_points precisa ser criado e conter um número inteiro).
Include tax in reward point discounts (only when customer tax applied before discount in customer tax tab).,Incluir impostos nos descontos do Reward Point (apenas quando a taxa do cliente for aplicada antes do desconto na tabela de impostos do cliente).
Include Tax,Incluir Impostos
Include shipping,Incluir despesas de envio
